stem,image_path,iou,dice,ap
cju1fj6axwfp30835ukhuzhw9,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fj6axwfp30835ukhuzhw9.jpg,0.976699,0.988212,0.99956
cju1fjsb4sipq09931lvd8e41,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fjsb4sipq09931lvd8e41.jpg,0.920033,0.958351,0.994029
cju1fm3id6gl50801r3fok20c,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fm3id6gl50801r3fok20c.jpg,0.709539,0.830094,0.947911
cju1fmsyf6gxb0801cimx2gle,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fmsyf6gxb0801cimx2gle.jpg,0.974409,0.987039,0.999479
cju1fr4etsmrr09933u4t4aql,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fr4etsmrr09933u4t4aql.jpg,0.978847,0.98931,0.999652
cju1ftaji6isw0855108yqcse,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ftaji6isw0855108yqcse.jpg,0.96583,0.982618,0.99898
cju1fuoa4wmc50835qfd11sp9,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fuoa4wmc50835qfd11sp9.jpg,0.9693,0.984411,0.999572
cju1fyb1d69et0878muzdak9u,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fyb1d69et0878muzdak9u.jpg,0.686449,0.814076,0.941361
cju1g20bdwq6u0835e16xugcd,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1g20bdwq6u0835e16xugcd.jpg,0.978625,0.989197,0.999654
cju1g4nsb6ngy0799l4ezm8ab,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1g4nsb6ngy0799l4ezm8ab.jpg,0.966296,0.982859,0.99923
cju1gghyjwxt80835vx0wgxw0,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1gghyjwxt80835vx0wgxw0.jpg,0.875128,0.933406,0.988146
cju1gi7jlwyld0835cdf6g6qz,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1gi7jlwyld0835cdf6g6qz.jpg,0.949326,0.974004,0.996955
cju1gkndf6yi10801o1qnje19,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1gkndf6yi10801o1qnje19.jpg,0.961369,0.980304,0.99887
