stem,image_path,iou,dice,ap
cju1fm3id6gl50801r3fok20c,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fm3id6gl50801r3fok20c.jpg,0.424283,0.595785,0.916193
cju1fmsyf6gxb0801cimx2gle,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fmsyf6gxb0801cimx2gle.jpg,0.948681,0.973665,0.998069
cju1fr4etsmrr09933u4t4aql,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fr4etsmrr09933u4t4aql.jpg,0.974528,0.9871,0.999387
cju1ftaji6isw0855108yqcse,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ftaji6isw0855108yqcse.jpg,0.941554,0.969897,0.996733
cju1fuoa4wmc50835qfd11sp9,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fuoa4wmc50835qfd11sp9.jpg,0.948024,0.973319,0.998363
cju1fyb1d69et0878muzdak9u,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fyb1d69et0878muzdak9u.jpg,0.464042,0.633919,0.876543
cju1g20bdwq6u0835e16xugcd,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1g20bdwq6u0835e16xugcd.jpg,0.977856,0.988804,0.999537
cju1g4nsb6ngy0799l4ezm8ab,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1g4nsb6ngy0799l4ezm8ab.jpg,0.947133,0.972849,0.998151
cju1gghyjwxt80835vx0wgxw0,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1gghyjwxt80835vx0wgxw0.jpg,0.900906,0.94787,0.994069
cju1gi7jlwyld0835cdf6g6qz,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1gi7jlwyld0835cdf6g6qz.jpg,0.9251,0.961093,0.994697
